x	y	label	showSelected
0.5	0.5	AK3L1	AK3L1
0.5	0.5	AK5	AK5
0.5	0.5	AKAP1	AKAP1
0.5	0.5	AKAP10	AKAP10
0.5	0.5	AKAP11	AKAP11
0.5	0.5	AKAP13	AKAP13
0.5	0.5	AKAP5	AKAP5
0.5	0.5	AKAP7	AKAP7
0.5	0.5	AKAP8	AKAP8
0.5	0.5	AKAP8L	AKAP8L
0.5	0.5	AKAP9	AKAP9
0.5	0.5	AKD1	AKD1
0.5	0.5	AKIRIN1	AKIRIN1
0.5	0.5	AKIRIN2	AKIRIN2
0.5	0.5	AKNA	AKNA
0.5	0.5	AKR1A1	AKR1A1
0.5	0.5	AKR1B1	AKR1B1
0.5	0.5	AKR7A2	AKR7A2
0.5	0.5	AKR7A3	AKR7A3
0.5	0.5	AKT1	AKT1
0.5	0.5	AKT1S1	AKT1S1
0.5	0.5	AKT2	AKT2
0.5	0.5	AKT3	AKT3
0.5	0.5	AKTIP	AKTIP
0.5	0.5	ALAD	ALAD
0.5	0.5	ALAS1	ALAS1
0.5	0.5	ALCAM	ALCAM
0.5	0.5	ALDH16A1	ALDH16A1
0.5	0.5	ALDH18A1	ALDH18A1
0.5	0.5	ALDH1B1	ALDH1B1
0.5	0.5	ALDH1L2	ALDH1L2
0.5	0.5	ALDH2	ALDH2
0.5	0.5	ALDH3A2	ALDH3A2
0.5	0.5	ALDH3B1	ALDH3B1
0.5	0.5	ALDH4A1	ALDH4A1
0.5	0.5	ALDH5A1	ALDH5A1
0.5	0.5	ALDH6A1	ALDH6A1
0.5	0.5	ALDH9A1	ALDH9A1
0.5	0.5	ALDOA	ALDOA
0.5	0.5	ALDOC	ALDOC
0.5	0.5	ALG1	ALG1
0.5	0.5	ALG10	ALG10
0.5	0.5	ALG10B	ALG10B
0.5	0.5	ALG11	ALG11
0.5	0.5	ALG12	ALG12
0.5	0.5	ALG13	ALG13
0.5	0.5	ALG14	ALG14
0.5	0.5	ALG2	ALG2
0.5	0.5	ALG3	ALG3
0.5	0.5	ALG5	ALG5
0.5	0.5	ALG6	ALG6
0.5	0.5	ALG8	ALG8
0.5	0.5	ALG9	ALG9
0.5	0.5	ALKBH1	ALKBH1
0.5	0.5	ALKBH2	ALKBH2
0.5	0.5	ALKBH3	ALKBH3
0.5	0.5	ALKBH4	ALKBH4
0.5	0.5	ALKBH5	ALKBH5
0.5	0.5	ALKBH6	ALKBH6
0.5	0.5	ALKBH7	ALKBH7
0.5	0.5	ALKBH8	ALKBH8
0.5	0.5	ALMS1	ALMS1
0.5	0.5	ALOX12	ALOX12
0.5	0.5	ALOX5	ALOX5
0.5	0.5	ALOX5AP	ALOX5AP
0.5	0.5	ALPK1	ALPK1
0.5	0.5	ALPK3	ALPK3
0.5	0.5	ALS2	ALS2
0.5	0.5	ALS2CR11	ALS2CR11
0.5	0.5	ALS2CR12	ALS2CR12
0.5	0.5	ALS2CR4	ALS2CR4
0.5	0.5	ALS2CR8	ALS2CR8
0.5	0.5	ALX3	ALX3
0.5	0.5	AMAC1L2	AMAC1L2
0.5	0.5	AMACR	AMACR
0.5	0.5	AMBRA1	AMBRA1
0.5	0.5	AMD1	AMD1
0.5	0.5	AMDHD2	AMDHD2
0.5	0.5	AMFR	AMFR
0.5	0.5	AMH	AMH
0.5	0.5	AMICA1	AMICA1
0.5	0.5	AMIGO1	AMIGO1
0.5	0.5	AMIGO2	AMIGO2
0.5	0.5	AMIGO3	AMIGO3
0.5	0.5	AMMECR1	AMMECR1
0.5	0.5	AMMECR1L	AMMECR1L
0.5	0.5	AMN1	AMN1
0.5	0.5	AMOT	AMOT
0.5	0.5	AMOTL1	AMOTL1
0.5	0.5	AMPD2	AMPD2
0.5	0.5	AMPD3	AMPD3
0.5	0.5	AMT	AMT
0.5	0.5	AMY2B	AMY2B
0.5	0.5	AMZ1	AMZ1
0.5	0.5	AMZ2	AMZ2
0.5	0.5	AMZ2P1	AMZ2P1
0.5	0.5	ANAPC1	ANAPC1
0.5	0.5	ANAPC10	ANAPC10
0.5	0.5	ANAPC11	ANAPC11
0.5	0.5	ANAPC13	ANAPC13
0.5	0.5	ANAPC16	ANAPC16
0.5	0.5	ANAPC2	ANAPC2
0.5	0.5	ANAPC4	ANAPC4
0.5	0.5	ANAPC5	ANAPC5
0.5	0.5	ANAPC7	ANAPC7
0.5	0.5	ANGEL1	ANGEL1
0.5	0.5	ANGEL2	ANGEL2
0.5	0.5	ANGPT1	ANGPT1
0.5	0.5	ANGPT2	ANGPT2
0.5	0.5	ANGPTL1	ANGPTL1
0.5	0.5	ANGPTL6	ANGPTL6
0.5	0.5	ANGPTL7	ANGPTL7
0.5	0.5	ANK1	ANK1
0.5	0.5	ANK3	ANK3
0.5	0.5	ANKAR	ANKAR
0.5	0.5	ANKDD1A	ANKDD1A
0.5	0.5	ANKFY1	ANKFY1
0.5	0.5	ANKH	ANKH
0.5	0.5	ANKHD1	ANKHD1
0.5	0.5	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
0.5	0.5	ANKIB1	ANKIB1
0.5	0.5	ANKLE1	ANKLE1
0.5	0.5	ANKLE2	ANKLE2
0.5	0.5	ANKMY1	ANKMY1
0.5	0.5	ANKMY2	ANKMY2
0.5	0.5	ANKRA2	ANKRA2
0.5	0.5	ANKRD10	ANKRD10
0.5	0.5	ANKRD11	ANKRD11
